Peanut butter and purple sprouting broccoli pad thai,
Serves 4/,
For the pad thai sauce /,
6 tbsp ,crunchy peanut butter
2 tbsp, tamarind paste
3 tbsp ,brown rice syrup
4 tbsp ,soy sauce
3 tbsp ,fresh lime juice
,
For the tofu and broccoli /,
450g, purple sprouting broccoli
3,cloves of garlic
1.5cm,ginger
2,bird's-eye chillies
225g,firm tofu
250g ,flat folded rice noodles
,rapeseed oil
6,spring onions
a handful,sesame seeds
,toasted sesame oil
a handful,fresh Thai basil leaves
a handful,fresh mint leaves
1,lime
