Satay summer rolls,4
100g ,dried rice vermicelli
1,large carrot
0.5,cucumber
100g ,red cabbage
a small bunch,fresh mint
a small bunch,fresh corriander
a small bunch,fresh Thai basil
a small bunch,fresh chives
a small handful,salted roasted peanuts
16,rice paper wrappers
1 x 280g ,block extra-firm tofu
3 tbsp ,cornflour
3 tbsp ,sesame oil
1,lime
1,fresh red chilli
2cm ,piece fresh ginger
1 tsp ,caster sugar
1 tsp ,soy sauce
1/2 tbsp ,rice vinegar
2,limes
1,bird's-eye chilli
1  clove,garlic
6 tbsp ,crunchy peanut butter
2 tbsp ,soft brown sugar
1 tbsp ,soy sauce
